filename,reward_score = -1,reward_score = 1,reward_score != -1,q0_reward,q25_reward,q50_reward,q75_reward,q100_reward,q0_footprint,q25_footprint,q50_footprint,q75_footprint,q100_footprint
100.csv,665,10,583,-0.5,0.5399305555555556,0.6045918367346939,0.6935483870967742,1.0,0.0,15.0,16.0,31.25,306.0
200.csv,735,11,513,0.3999999999999999,0.5515463917525774,0.5985221674876848,0.6923076923076923,1.0,0.0,15.0,16.0,40.0,324.0
300.csv,410,15,838,-0.5,0.5571643717728055,0.6221576227390181,0.7115384615384615,1.0,13.0,14.0,16.0,19.0,289.0
400.csv,180,18,1068,-0.5,0.5669715447154472,0.6285714285714286,0.7291666666666667,1.0,0.0,14.0,15.0,17.0,261.0
500.csv,138,24,1110,-0.5,0.5744932432432432,0.6388888888888888,0.7380952380952381,1.0,14.0,14.0,15.0,16.0,256.0
600.csv,151,24,1097,-0.5,0.578125,0.6470588235294117,0.74,1.0,4.0,14.0,15.0,16.0,322.0
700.csv,146,22,1102,0.3999999999999999,0.5785714285714285,0.6419413919413919,0.74,1.0,10.0,14.0,15.0,16.0,272.0
800.csv,139,26,1109,-0.5,0.5795454545454546,0.6428571428571428,0.7380952380952381,1.0,11.0,14.0,15.0,16.0,272.0
900.csv,140,26,1108,0.2461538461538461,0.5785714285714285,0.6447368421052633,0.74,1.0,12.0,14.0,15.0,16.0,272.0
1000.csv,140,22,1108,0.407462686567164,0.5789473684210527,0.6481481481481481,0.7380952380952381,1.0,12.0,14.0,15.0,16.0,256.0
100.csv,7,27,1241,0.5,0.5789473684210527,0.6470588235294117,0.74,1.0,13.0,14.0,15.0,16.0,306.0
200.csv,4,26,1244,-0.5,0.5816326530612246,0.6447368421052633,0.74,1.0,14.0,14.0,15.0,16.0,272.0
300.csv,6,27,1242,0.5048309178743962,0.583841463414634,0.6499999999999999,0.74,1.0,14.0,14.0,15.0,16.0,240.0
400.csv,3,27,1245,0.5107913669064748,0.5833333333333333,0.6499999999999999,0.74,1.0,14.0,14.0,15.0,16.0,197.0
500.csv,2,28,1246,0.5107913669064748,0.5869565217391304,0.6499999999999999,0.74,1.0,14.0,14.0,15.0,16.0,196.0
600.csv,5,27,1243,0.5107913669064748,0.5833333333333333,0.6499999999999999,0.74,1.0,14.0,14.0,15.0,16.0,175.0
700.csv,2,26,1246,0.5107913669064748,0.5818181818181818,0.6499999999999999,0.74,1.0,14.0,14.0,15.0,16.0,175.0
800.csv,2,27,1246,0.5107913669064748,0.5833333333333333,0.6499999999999999,0.7405555555555555,1.0,14.0,14.0,15.0,16.0,185.0
900.csv,0,28,1248,0.5071428571428571,0.5829545454545454,0.6499999999999999,0.74,1.0,13.0,14.0,15.0,16.0,199.0
1000.csv,1,28,1247,0.477519379844961,0.5851449275362318,0.6499999999999999,0.74,1.0,14.0,14.0,15.0,16.0,175.0
